QUARTIER,POPULATION TOTALE,LATITUDE,LONGITUDE,SEXE,NB_HAB
LA TERRASSE,5889.26157407,43.5840216111,1.48508530918,FEMMES,3259.167891758
ZONES D'ACTIVITES SUD,706.03804862,43.5540170114,1.41678405499,FEMMES,297.3685999524
REYNERIE,5214.055592354,43.5703225986,1.39973906829,FEMMES,2644.5521111460002
MIRAIL-UNIVERSITE,2626.480009764,43.5782652453,1.40167764417,FEMMES,1523.2794517409998
LES PRADETTES,4712.327412539,43.5823273657,1.39003097476,FEMMES,2380.152694386
LE BUSCA,7590.24104467,43.5907159742,1.45407208147,FEMMES,3979.38256826
RAMIER,786.7685527531,43.5815839869,1.43382529081,FEMMES,386.24787269210003
GUILHEMERY,10386.974317350001,43.6025734884,1.46613995386,FEMMES,5484.32329559
PONT-DES-DEMOISELLES,7933.01057113,43.58265194,1.4692933284,FEMMES,4088.57889596
CASSELARDIT,10781.56087792,43.6003944758,1.40936334348,FEMMES,5708.079218471
ARNAUD BERNARD,6757.35496475,43.607587822,1.43979368004,FEMMES,3497.882831462
SAINT-ETIENNE,4151.966449155,43.5971131627,1.44827757098,FEMMES,2254.5077458429996
AMIDONNIERS,5735.352107858001,43.6062858201,1.42339702287,FEMMES,2962.764799821
MARENGO - JOLIMONT,9727.78740584,43.6117583769,1.46190401897,FEMMES,5067.220220281
COTE PAVEE,9264.62800684,43.5930757136,1.46932064658,FEMMES,4930.6259562800005
SAUZELONG - RANGUEIL,8298.33223083,43.5791097556,1.45915760009,FEMMES,4476.49016683
JULES JULIEN,2775.7705113380002,43.5751727591,1.45209461034,FEMMES,1318.818103583
BAGATELLE,3667.267476321,43.5822089193,1.41005098694,FEMMES,1843.661094465
GINESTOUS,736.876123353,43.644969534,1.41306195552,FEMMES,423.58038441200006
LALANDE,9132.670950418,43.6529517507,1.43461798789,FEMMES,4630.886520019
CROIX-DAURADE,21285.04642504,43.640852425,1.45772918594,FEMMES,11414.62940088
LA FOURGUETTE,4451.788271085,43.5629079932,1.41078954004,FEMMES,2186.561590166
SAINT-SIMON,6897.06002169,43.5575428976,1.37851791718,FEMMES,3609.1448010719996
BASSO-CAMBO,2272.43400404,43.5734940995,1.37932901549,FEMMES,1022.2743431896
CAPITOLE,5103.689668669,43.6022244026,1.44055171361,FEMMES,2653.497251248
COMPANS,6534.325570423,43.6107166746,1.43016543261,FEMMES,3623.706179816
CROIX-DE-PIERRE,5282.59716576,43.5776887837,1.42448790579,FEMMES,2786.886379986
